"Nome","Códigos","Último","Var%","Capitalização","Vol."
"Apple BDR","AAPL34","43,72","-1,53%","13,7T","373.852"
"Microsoft BDR","MSFT34","67,48","1,20%","12,02T","126.546"
"Meta Platforms BDR","M1TA34","55,23","2,28%","3,99T","103.081"
"Visa Inc BDR","VISA34","59,15","1,44%","2,41T","11.449"
"MasterCard BDR","MSCD34","62,76","1,83%","1,83T","4.532"
"Broadcom BDR","AVGO34","62,55","2,16%","1,81T","2.111"
"Oracle BDR","ORCL34","94,23","1,65%","1,54T","409"
"Cisco BDR","CSCO34","51,80","0,41%","1,06T","205"
"Accenture BDR","ACNB34","1.541,28","1,19%","976,4B","3"
"Netflix BDR","NFLX34","43,25","2,98%","961,9B","47.378"
"Comcast BDR","CMCS34","44,50","1,92%","918,76B","3.170"
"SAP BDR","SAPP34","643,50","0,00%","771,25B","0"
"Texas Instruments BDR","TEXA34","54,81","0,20%","751,77B","180"
"Intel BDR","ITLC34","28,53","0,32%","723,02B","32.826"
"Intuit BDR","INTU34","56,08","1,25%","693,42B","2.525"
"Verizon BDR","VERZ34","26,52","0,38%","670,17B","4.236"
"Qualcomm BDR","QCOM34","48,00","-1,44%","652,65B","803"
"IBM BDR","IBMB34","713,18","0,45%","652,59B","21"
"Pinduoduo Inc BDR","P1DD34","41,89","-4,05%","557,31B","1.935"
"ADP BDR","ADPR34","50,85","3,35%","506,38B","1"
"AT&T BDR","ATTB34","22,76","0,26%","490,84B","479"
"Analog Devices BDR","A1DI34","477,05","0,00%","467,1B","0"
"Lam Research BDR","L1RC34","78,12","2,39%","460,75B","1.143"
"Micron Technology BDR","MUTC34","56,44","-0,28%","372,39B","7.195"
"Shopify BDR","S2HO34","2,34","-2,09%","361,8B","57.171"
"Infosys BDR","I1FO34","41,72","3,47%","341,25B","6"
"KLA BDR","K1LA34","616,80","2,14%","339,31B","16"
"Synopsys BDR","S1NP34","545,94","1,93%","331,07B","2"
"Snowflake BDR","S2NW34","20,40","0,64%","266,44B","593"
"Amphenol BDR","A1PH34","210,98","0,00%","259,78B","0"
"Atlassian Corp BDR","T1AM34","46,77","-0,49%","243,73B","6.421"
"Microchip Technology BDR","M1CH34","207,40","2,67%","226,23B","2"
"TE Connectivity BDR","T1EL34","312,81","0,00%","214,49B","0"
"Dell Technologies BDR","D1EL34","265,80","1,10%","194,48B","6"
"Cognizant BDR","CTSH34","328,01","0,00%","176,53B","0"
"Hewlett-Packard BDR","HPQB34","160,48","0,87%","158,23B","19.064"
"Keysight Technologies BDR","K1SG34","403,00","0,00%","139,09B","0"
"eBay BDR","EBAY34","106,54","0,90%","114,35B","4"
"Roblox Corp BDR","R2BL34","18,35","0,66%","112,52B","228"
"Hewlett Packard Enterprise BDR","H1PE34","83,92","0,00%","111,07B","0"
"Zoom BDR","Z1OM34","13,30","-2,06%","100,11B","777"
"Broadridge Financial Solutions BDR","B1RF34","197,80","0,00%","96,06B","0"
"Skyworks Solutions BDR","S1SL34","265,02","0,00%","85,92B","0"
"Splunk BDR","S1PL34","24,72","0,00%","83,03B","0"
"NetApp BDR","N1TA34","349,55","0,00%","81,5B","0"
"Unity Software Inc BDR","U2ST34","9,75","-0,20%","75,07B","4.858"
"Check Point BDR","C1HK34","306,20","0,00%","72,67B","0"
"Telefônica Brasil ON","VIVT3","42,46","-0,47%","70,41B","2.063.300"
"Seagate Technology BDR","S1TX34","305,00","0,00%","69,63B","0"
"Western Digital BDR","W1DC34","184,88","0,00%","68,2B","0"
